Gene,MoleculeA,MoleculeB,Intact_Miscore
TYW1B,ENTPD4,TYW1B,0.35
TYW1B,POMK,TYW1B,0.35
TYW1B,PTGER3,TYW1B,0.35
U2AF1,U2AF1,U2AF2,0.94
U2AF1,U2AF2,U2AF1,0.94
U2AF2,U2AF1,U2AF2,0.94
U2AF2,U2AF2,U2AF1,0.94
U2SURP,RBM10,U2SURP,0.51
U2SURP,U2SURP,RBM5,0.51
U2SURP,DCLRE1A,U2SURP,0.4
U2SURP,U2SURP,CHERP,0.4
U2SURP,CTNNBL1,U2SURP,0.37
U2SURP,PRPF40A,U2SURP,0.37
U2SURP,RBM17,U2SURP,0.37
UACA,PPP1CB,UACA,0.57
UACA,AHCYL1,UACA,0.56
UACA,CCDC125,UACA,0.56
UACA,KRT31,UACA,0.56
UACA,KRT40,UACA,0.56
UACA,PRKAR1B,UACA,0.56
UACA,RTP2,UACA,0.56
UAP1,UAP1,UAP1,0.56
UAP1,UAP1,UAP1,0.49
UAP1,CDK16,UAP1,0.37
UBA2,SAE1,UBA2,0.95
UBA2,UBA2,SAE1,0.95
UBA6,UBA6,ubiq_human,0.64
UBAC1,DAZAP2,UBAC1,0.78
UBAC1,TRIM2,UBAC1,0.78
UBAC1,UBAC1,DAZAP2,0.78
UBAC1,UBAC1,TRIM2,0.78
UBAC2,FAF2,UBAC2,0.62
UBAC2,UBAC2,FAF2,0.62
UBAC2,CALCOCO2,UBAC2,0.56
UBAC2,PRKN,UBAC2,0.56
UBB,DAZAP2,UBB,0.74
UBE2A,SDCBP,UBE2A,0.72
UBE2A,UBE2A,SDCBP,0.72
UBE2A,RAD18,UBE2A,0.66
UBE2D1,UBE2D1,XIAP,0.84
UBE2D1,XIAP,UBE2D1,0.84
UBE2D1,RNF115,UBE2D1,0.83
UBE2D1,UBE2D1,RNF115,0.83
UBE2J2,AQP6,UBE2J2,0.56
UBE2J2,ELOVL7,UBE2J2,0.56
UBE2J2,GNB2,UBE2J2,0.56
UBE2J2,RBP1,UBE2J2,0.56
UBE2J2,TRIM59,UBE2J2,0.56
UBE2J2,UBE2J2,AQP6,0.56
UBR3,DUSP28,UBR3,0.4
UBR3,HOXB7,UBR3,0.4
UBR3,SCYL1,UBR3,0.4
UBR3,TP53AIP1,UBR3,0.4
UBR3,WNT1,UBR3,0.4
UBR3,DZIP3,UBR3,0.37
UBR3,UBE2B,UBR3,0.37
UBR5,PAIP2,UBR5,0.68
UBR5,UBR5,PAIP2,0.68
UBR5,GSK3B,UBR5,0.61
UBXN7,UBXN7,VCP,0.77
UCHL5,ADRM1,UCHL5,0.96
UCHL5,UCHL5,ADRM1,0.96
UGT2A2,UGT2A3,UGT2A2,0.35
UGT2A3,NEK4,UGT2A3,0.35
UGT2A3,UGT2A3,HBA1,0.35
UGT2A3,UGT2A3,UGT2A2,0.35
UGT2A3,UGT2A3,UGT2B15,0.35
UGT2B10,MAPK14,UGT2B10,0.37
ULK2,GABARAP,ULK2,0.4
ULK2,GABARAPL1,ULK2,0.4
ULK2,GABARAPL2,ULK2,0.4
ULK2,IRF1,ULK2,0.4
ULK2,ULK2,MAP1LC3B,0.4
ULK2,DIXDC1,ULK2,0.37
ULK2,ULK2,EEF1B2,0.37
UNC13C,UNC13C,H1-1,0.4
UNC13C,UNC13C,PRKCSH,0.4
UNC13C,UNC13C,RPLP2,0.4
UNC80,CALM1,UNC80,0.57
UPF1,UPF1,UPF2,0.95
USH2A,USH1C,USH2A,0.54
USH2A,PDZD7,USH2A,0.4
USH2A,ESR2,USH2A,0.35
USH2A,FOXRED2,USH2A,0.35
USH2A,MAPT,USH2A,0.35
USP10,G3BP1,USP10,0.93
USP13,ATXN3,USP13,0.56
USP13,DAZAP2,USP13,0.56
USP16,USP16,JPH3,0.56
USP16,NEURL4,USP16,0.53
USP16,USP16,NEURL4,0.53
USP16,FOS,USP16,0.4
USP16,USP16,H1-5,0.4
USP16,USP16,a6nck6_human,0.4
USP16,USP16,DBT,0.4
USP25,RAD23A,USP25,0.85
USP25,USP25,RAD23A,0.85
USP28,TP53BP1,USP28,0.54
USP28,USP28,TP53BP1,0.54
USP28,USP25,USP28,0.4
USP28,USP28,AQR,0.4
USP28,USP28,SUMO2,0.4
USP28,CFTR,USP28,0.37
USP29,CTSB,USP29,0.4
USP29,TP53,USP29,0.4
USP44,USP44,CETN2,0.59
USP44,FOXP3,USP44,0.46
USP44,USP44,FOXP3,0.46
USP44,USP44,KRR1,0.4
USP51,ATXN7L3,USP51,0.35
USP6,MYL2,USP6,0.61
USP6,USP6,MYL2,0.61
USP6,ANKRD44,USP6,0.57
USP7,MDM2,USP7,0.97
USP8,USP8,YWHAZ,0.82
USP8,YWHAZ,USP8,0.82
USP8,USP8,YWHAG,0.78
USP8,USP8,YWHAQ,0.78
USP8,YWHAB,USP8,0.78
USP9X,MCL1,USP9X,0.68
USP9X,USP9X,MCL1,0.68
VAMP4,STX4,VAMP4,0.78
VAMP4,VAMP4,STX4,0.78
VAMP4,VAMP4,STX4,0.67
VANGL1,PTPN3,VANGL1,0.65
VANGL1,VANGL1,CREB3,0.56
VARS2,ABI2,VARS2,0.56
VARS2,CMTM5,VARS2,0.56
VARS2,MAL2,VARS2,0.56
VAV1,SH3BP2,VAV1,0.79
VAV1,VAV1,SH3BP2,0.79
VAV1,LCP2,VAV1,0.76
VAV2,VAV2,SH3BP2,0.67
VAV2,TXNIP,VAV2,0.56
VAV2,TTN,VAV2,0.55
VAV2,CAV1,VAV2,0.54
VCAN,MMP9,VCAN,0.6
VCAN,VCAN,MMP9,0.6
VCPIP1,FAF2,VCPIP1,0.56
VCPIP1,VCPIP1,FAF2,0.56
VCPIP1,PLAAT5,VCPIP1,0.4
VCPIP1,VCPIP1,ABCC12,0.4
VCPIP1,VCPIP1,HUWE1,0.4
VCPIP1,VCPIP1,NPLOC4,0.4
VCPIP1,VCPIP1,NSFL1C,0.4
VCPIP1,VCPIP1,q9nxw1_human,0.4
VCPIP1,VCPIP1,SVIP,0.4
VCPIP1,VCPIP1,UBXN2A,0.4
VEGFA,KDR,VEGFA,0.85
VEGFA,VEGFA,KDR,0.85
VEGFA,KDR,VEGFA,0.81
VEZF1,ccsb orf id: 100080464,VEZF1,0.56
VEZF1,ccsb orf id: 54692,VEZF1,0.56
VEZF1,KRTAP10-8,VEZF1,0.56
VEZF1,AGR2,VEZF1,0.56
VEZF1,ARHGEF9,VEZF1,0.56
VEZF1,CAPN3,VEZF1,0.56
VEZF1,CEACAM6,VEZF1,0.56
VEZF1,EIF3F,VEZF1,0.56
VEZF1,FAM153B,VEZF1,0.56
VEZF1,FAM168B,VEZF1,0.56
VHL,HIF1A,VHL,0.96
VIPAS39,VIPAS39,VPS33B,0.98
VIRMA,HBM,VIRMA,0.56
VIRMA,VIRMA,HBM,0.56
VIRMA,PRPF6,VIRMA,0.5
VIRMA,VIRMA,PRPF6,0.5
VIRMA,YWHAG,VIRMA,0.48
VIRMA,YWHAH,VIRMA,0.48
VIRMA,YWHAQ,VIRMA,0.48
VMA21,ccsb orf id: 11065,VMA21,0.56
VMA21,ABHD16A,VMA21,0.56
VMA21,ADAM33,VMA21,0.56
VMA21,AQP6,VMA21,0.56
VMA21,ARL6IP1,VMA21,0.56
VN1R2,VN1R2,SRP14,0.4
VPS13B,CSNK1E,VPS13B,0.53
VPS13B,DNAJC7,VPS13B,0.53
VPS13B,VPS13B,H1-1,0.4
VPS13B,VPS13B,H3-4,0.4
VPS53,VPS50,VPS53,0.8
VSTM2L,ATXN1,VSTM2L,0.67
VSTM2L,CCM2,VSTM2L,0.57
VTCN1,VTCN1,H1-1,0.4
VTCN1,VTCN1,NCALD,0.4
VWA7,CUL2,VWA7,0.35
VWF,VWF,VWF,0.87
VXN,CABP2,VXN,0.56
VXN,CEP70,VXN,0.56
VXN,FHL2,VXN,0.56
VXN,NTAQ1,VXN,0.56
VXN,VXN,CABP2,0.56
VXN,VXN,CEP70,0.56
WAPL,STAG2,WAPL,0.89
WAPL,WAPL,STAG2,0.89
WASF3,ABI2,WASF3,0.56
WASF3,BYSL,WASF3,0.56
WASF3,CKS1B,WASF3,0.56
WASF3,KANK2,WASF3,0.56
WBP11,PPP1CA,WBP11,0.8
WBP11,WBP11,PPP1CA,0.8
WBP11,C5orf22,WBP11,0.74
WBP11,PQBP1,WBP11,0.74
WBP4,SNRNP200,WBP4,0.7
WDCP,CTBP1,WDCP,0.64
WDCP,RUVBL1,WDCP,0.56
WDCP,RUVBL2,WDCP,0.56
WDFY3,MAP1LC3B,WDFY3,0.71
WDFY3,WDFY3,MAP1LC3B,0.71
WDFY3,WDFY3,SQSTM1,0.71
WDR12,PES1,WDR12,0.67
WDR12,WDR12,PES1,0.67
WDR12,TARDBP,WDR12,0.56
WDR12,VHL,WDR12,0.56
WDR24,MIOS,WDR24,0.94
WDR24,WDR24,MIOS,0.94
WDR45,ATG2A,WDR45,0.62
WDR45,WDR45,ATG2A,0.62
WDR45,WDR45,MDM2,0.4
WDR62,MAPK9,WDR62,0.74
WDR62,WDR62,MAPK9,0.74
WDR62,CEP170,WDR62,0.71
WDR62,WDR62,CEP170,0.71
WDR64,MST1R,WDR64,0.27
WDR74,RCHY1,WDR74,0.56
WDR74,WDR74,RCHY1,0.56
WDR74,RGS2,WDR74,0.55
WDR74,WDR74,RGS2,0.55
WDR74,WDR74,DLG4,0.37
WDR74,WDR74,NUDT3,0.37
WDR75,UTP4,WDR75,0.53
WDR75,CHM,WDR75,0.4
WDR75,PLEK,WDR75,0.4
WDR75,ASB7,WDR75,0.35
WDR75,ATP6AP2,WDR75,0.35
WDR75,C1D,WDR75,0.35
WDR75,CACNB1,WDR75,0.35
WDR75,CDH5,WDR75,0.35
WDR86,WDR86,CCT2,0.35
WDR86,WDR86,CCT3,0.35
WDR86,WDR86,CCT4,0.35
WDR86,WDR86,CCT5,0.35
WDR86,WDR86,CCT6A,0.35
WDR86,WDR86,CCT6B,0.35
WDR86,WDR86,CCT7,0.35
WDR86,WDR86,IPCEF1,0.35
WDR86,WDR86,PDCL,0.35
WDR90,RBPMS,WDR90,0.56
WDR90,WDR90,RBPMS,0.56
WDR90,MAP1LC3B,WDR90,0.44
WDR90,WDR90,NUDC,0.4
WDR90,CCDC14,WDR90,0.35
WDR90,CEP135,WDR90,0.35
WDTC1,DDB1,WDTC1,0.67
WDTC1,WDTC1,DDB1,0.67
WDTC1,WDTC1,VHL,0.56
WDTC1,CUL4A,WDTC1,0.53
WIF1,KRTAP10-8,WIF1,0.72
WIF1,WIF1,KRTAP10-8,0.72
WIPF2,GRB2,WIPF2,0.8
WIPF2,WIPF2,GRB2,0.8
WIPF2,WASL,WIPF2,0.74
WIPF2,WIPF2,WASL,0.74
WNK1,OXSR1,WNK1,0.78
WNK1,WNK1,OXSR1,0.78
WNK1,FHL3,WNK1,0.72
WNK2,OXSR1,WNK2,0.44
WNK2,PKM,WNK2,0.44
WNK2,WNK2,ABL1,0.4
WNK2,WNK2,FYN,0.4
WNK2,WNK2,SLC43A3,0.4
WNK2,WNK2,SMC1A,0.4
WNK2,ATXN1,WNK2,0.37
WNK2,WNK2,ESS2,0.37
WNT2,WNT2,HSPA5,0.4
WNT2,WNT2,SFRP1,0.4
WNT2,WNT2,AQP5,0.37
WNT2,WNT2,HCK,0.37
WNT2,WNT2,RRAGC,0.37
WNT2,WNT2,UQCR11,0.37
WNT2,DCAF4,WNT2,0.35
WNT5B,WNT5B,WLS,0.4
WNT5B,APPBP2,WNT5B,0.37
WNT5B,KLRG2,WNT5B,0.35
WNT5B,VPS35,WNT5B,0.35
WNT5B,WNT5A,WNT5B,0.35
WRAP73,CEP135,WRAP73,0.82
WRAP73,WRAP73,CEP135,0.82
WRN,WRN,XRCC6,0.86
WRN,XRCC6,WRN,0.86
WRN,WRN,XRCC5,0.85
WTIP,AGO3,WTIP,0.52
WTIP,SCRIB,WTIP,0.44
WTIP,AGO1,WTIP,0.4
WTIP,AGO2,WTIP,0.4
WTIP,AGO4,WTIP,0.4
WWP1,SMAD3,WWP1,0.81
WWP1,WWP1,SMAD3,0.81
WWTR1,TEAD4,WWTR1,0.85
WWTR1,TEAD3,WWTR1,0.67
XBP1,XBP1,XBP1,0.73
XBP1,ATF6,XBP1,0.62
XBP1,CREBZF,XBP1,0.62
XBP1,XBP1,ATF6,0.62
XBP1,XBP1,CREBZF,0.62
XCL2,KRTAP1-3,XCL2,0.56
XCL2,CCL5,XCL2,0.56
XCL2,CXCL12,XCL2,0.56
XCL2,XCL2,KRTAP1-3,0.56
XCL2,XCL2,KRTAP10-9,0.56
XCL2,XCL2,CCL5,0.56
XDH,XDH,GRIP1,0.56
XDH,CCDC110,XDH,0.4
XIAP,CASP9,XIAP,0.97
XIRP2,VASP,XIRP2,0.44
XIRP2,XIRP2,LRRK2,0.44
XIRP2,XIRP2,H1-4,0.4
XIRP2,XIRP2,H1-5,0.4
XIRP2,XIRP2,H2BC9,0.4
XIRP2,XIRP2,PNPT1,0.4
XPNPEP2,XPNPEP2,H1-5,0.4
XPO1,XPO1,SNUPN,0.82
XPO1,CFTR,XPO1,0.71
XPO4,UBQLN1,XPO4,0.56
XPO4,XPO4,UBQLN1,0.56
XPO4,TNFSF13B,XPO4,0.53
XRCC1,APTX,XRCC1,0.88
XRCC1,XRCC1,APTX,0.88
XRCC2,RAD51D,XRCC2,0.98
XRCC5,XRCC5,XRCC6,0.96
YAP1,TEAD1,YAP1,0.94
YAP1,YAP1,TEAD1,0.94
YBX3,YBX1,YBX3,0.62
YBX3,PPP1CA,YBX3,0.54
YBX3,YBX3,PPP1CA,0.54
YBX3,RRP1B,YBX3,0.46
YEATS4,MRGBP,YEATS4,0.79
YEATS4,YEATS4,MRGBP,0.79
YEATS4,YEATS4,ZNHIT1,0.73
YEATS4,ZNHIT1,YEATS4,0.73
YEATS4,ANKK1,YEATS4,0.67
YES1,PTK2,YES1,0.72
YES1,SOCS3,YES1,0.72
YES1,SSBP3,YES1,0.72
YES1,THAP1,YES1,0.72
YPEL5,GSC2,YPEL5,0.56
YPEL5,MAPKBP1,YPEL5,0.56
YPEL5,PSMA1,YPEL5,0.56
YPEL5,SHC3,YPEL5,0.56
YPEL5,TRAF5,YPEL5,0.56
YPEL5,YPEL5,CTDSP1,0.56
YTHDF2,MAP3K14,YTHDF2,0.53
YTHDF2,VCAM1,YTHDF2,0.53
YTHDF2,CFTR,YTHDF2,0.48
YWHAE,YWHAE,YWHAG,0.92
YWHAE,YWHAG,YWHAE,0.92
YY1AP1,YY1AP1,SS18L2,0.67
YY1AP1,YY1,YY1AP1,0.63
YY1AP1,YY1AP1,YY1,0.63
YY1AP1,YY1,YY1AP1,0.58
ZBTB16,ZBTB16,ZBTB16,0.84
ZBTB16,LAMTOR5,ZBTB16,0.83
ZBTB20,HSP90AB1,ZBTB20,0.4
ZBTB20,ZBTB20,CDC37,0.4
ZBTB20,NR3C1,ZBTB20,0.37
ZBTB20,PPARG,ZBTB20,0.37
ZBTB20,ANLN,ZBTB20,0.35
ZBTB5,DCX,ZBTB5,0.56
ZBTB5,METTL5,ZBTB5,0.56
ZBTB5,SWAP70,ZBTB5,0.56
ZBTB5,ZBTB5,BAG4,0.56
ZBTB7A,KHDRBS1,ZBTB7A,0.65
ZBTB7A,ZBTB7A,KHDRBS1,0.65
ZBTB7B,IMP4,ZBTB7B,0.67
ZBTB7B,ZBTB7B,IMP4,0.67
ZBTB7B,ccsb orf id: 5498,ZBTB7B,0.56
ZBTB7B,BCL6,ZBTB7B,0.56
ZBTB7B,BCL6B,ZBTB7B,0.56
ZC3H11A,MLH1,ZC3H11A,0.83
ZC3H11A,ZC3H11A,MLH1,0.83
ZC3H11A,NCBP3,ZC3H11A,0.53
ZC3H12A,P4HA3,ZC3H12A,0.72
ZC3H12A,ZC3H12A,P4HA3,0.72
ZC3H12A,AHSP,ZC3H12A,0.67
ZC3H13,ZC3H13,CSNK2A1,0.44
ZC3H13,SCHIP1,ZC3H13,0.4
ZC3H13,ZC3H13,HES4,0.4
ZC3H13,ZC3H13,PDCD11,0.4
ZC3H13,ZC3H13,PTGES3,0.4
ZC3H13,ZC3H13,RAB34,0.4
ZC3H13,ZC3H13,SCHIP1,0.4
ZC3H13,ZC3H13,YWHAZ,0.4
ZC3H13,CBLL2,ZC3H13,0.35
ZC3H18,NCBP2,ZC3H18,0.64
ZC3H18,ZC3H18,NCBP2,0.64
ZC3H18,CSNK2A2,ZC3H18,0.53
ZC3H4,ZC3H4,H2BC21,0.4
ZC3H4,ZC3H4,HMGN3,0.4
ZC3H4,AURKB,ZC3H4,0.35
ZC3H4,CAPN13,ZC3H4,0.35
ZC3H4,CDC42,ZC3H4,0.35
ZC3H4,CSNK2A1,ZC3H4,0.35
ZC3H4,CSNK2A2,ZC3H4,0.35
ZC3H4,GABARAP,ZC3H4,0.35
ZC3H4,HTRA4,ZC3H4,0.35
ZC3HC1,ATXN1,ZC3HC1,0.56
ZC3HC1,UCHL1,ZC3HC1,0.56
ZC3HC1,ZC3HC1,SPRED1,0.56
ZC4H2,ZC4H2,ZNF490,0.78
ZC4H2,ZNF490,ZC4H2,0.78
ZC4H2,ZC4H2,ZNF250,0.72
ZC4H2,ZNF250,ZC4H2,0.72
ZCCHC12,PNMA1,ZCCHC12,0.85
ZCCHC12,ZCCHC12,PNMA1,0.85
ZCCHC2,ZCCHC2,SHANK3,0.37
ZCCHC2,RMND5A,ZCCHC2,0.35
ZCCHC8,RBM7,ZCCHC8,0.82
ZCCHC8,ZCCHC8,RBM7,0.82
ZCRB1,ZCRB1,HSPB1,0.56
ZCRB1,ZCRB1,PEX1,0.56
ZCRB1,ZCRB1,WFS1,0.56
ZCWPW2,HSF2BP,ZCWPW2,0.56
ZCWPW2,PBX2,ZCWPW2,0.56
ZCWPW2,ZCWPW2,HSF2BP,0.56
ZCWPW2,ZCWPW2,PBX2,0.56
ZDBF2,SOX2,ZDBF2,0.53
ZDBF2,SENP6,ZDBF2,0.4
ZDBF2,ZDBF2,H1-5,0.4
ZDBF2,ZDBF2,HSPA5,0.4
ZDBF2,ZDBF2,MYH10,0.4
ZDBF2,CPNE2,ZDBF2,0.35
ZDBF2,CSNK1A1,ZDBF2,0.35
ZDBF2,CTBP1,ZDBF2,0.35
ZDHHC4,CLDND1,ZDHHC4,0.56
ZDHHC4,TUSC5,ZDHHC4,0.56
ZDHHC4,ZDHHC4,CLDND1,0.56
ZDHHC4,ZDHHC4,DRD2,0.37
ZEB1,CTBP1,ZEB1,0.76
ZEB1,ZEB1,CTBP1,0.76
ZFHX3,ccsb orf id: 100080464,ZFHX3,0.56
ZFHX3,BHLHE40,ZFHX3,0.56
ZFHX3,CNOT2,ZFHX3,0.56
ZFHX3,DEUP1,ZFHX3,0.56
ZFHX4,FOXL1,ZFHX4,0.48
ZFHX4,SOX2,ZFHX4,0.48
ZFHX4,ZFHX4,ATP1A1,0.4
ZFHX4,ZFHX4,H2BC9,0.4
ZFHX4,ZFHX4,RAP1B,0.4
ZFHX4,ALOXE3,ZFHX4,0.35
ZFHX4,FOXB1,ZFHX4,0.35
ZFHX4,FOXJ2,ZFHX4,0.35
ZFP36L1,YWHAG,ZFP36L1,0.53
ZFP36L1,ZFP36L1,YWHAG,0.53
ZFP36L1,MAPK14,ZFP36L1,0.51
ZFP36L1,ZFP36L1,MAPK14,0.51
ZFP36L1,YWHAH,ZFP36L1,0.42
ZFP36L1,PAFAH1B2,ZFP36L1,0.37
ZFP36L2,YWHAH,ZFP36L2,0.67
ZFP36L2,YWHAG,ZFP36L2,0.57
ZFPM2,LMNA,ZFPM2,0.56
ZFPM2,PRPF3,ZFPM2,0.56
ZFPM2,ZFPM2,DMWD,0.56
ZFPM2,ZFPM2,GFAP,0.56
ZG16,SGTA,ZG16,0.78
ZHX2,ZHX1,ZHX2,0.59
ZHX2,ZHX2,TFF2,0.56
ZHX2,ZHX2,ZHX2,0.51
ZHX2,PARP2,ZHX2,0.44
ZIC1,KRTAP12-1,ZIC1,0.56
ZIC1,ccsb orf id: 100064146,ZIC1,0.56
ZIC1,ccsb orf id: 10779,ZIC1,0.56
ZIC1,ccsb orf id: 11745,ZIC1,0.56
ZIC1,ccsb orf id: 14249,ZIC1,0.56
ZIC1,ccsb orf id: 71813,ZIC1,0.56
ZIC1,KRTAP10-8,ZIC1,0.56
ZIC1,ccsb orf id: 9453,ZIC1,0.56
ZIC1,ARID5A,ZIC1,0.56
ZIC1,CRX,ZIC1,0.56
ZIC3,CTNNB1,ZIC3,0.4
ZIC3,TP53,ZIC3,0.4
ZIC3,TWIST1,ZIC3,0.4
ZIC4,ZNF598,ZIC4,0.37
ZIC4,CCDC93,ZIC4,0.35
ZIC4,TP53BP1,ZIC4,0.27
ZIM2,EPM2AIP1,ZIM2,0.6
ZIM2,KRTAP3-2,ZIM2,0.56
ZIM2,KRTAP12-2,ZIM2,0.56
ZIM2,KRTAP2-4,ZIM2,0.56
ZIM2,KRTAP10-6,ZIM2,0.56
ZKSCAN3,GOLGA6L9,ZKSCAN3,0.56
ZKSCAN3,HSPA2,ZKSCAN3,0.56
ZKSCAN3,HTT,ZKSCAN3,0.56
ZKSCAN3,IHO1,ZKSCAN3,0.56
ZKSCAN3,LZTS2,ZKSCAN3,0.56
ZMIZ1,CACHD1,ZMIZ1,0.37
ZMIZ1,CNTNAP2,ZMIZ1,0.37
ZMYM2,HDAC1,ZMYM2,0.64
ZMYM2,HDAC2,ZMYM2,0.64
ZMYM2,GTF2IRD1,ZMYM2,0.58
ZMYM2,ZMYM2,GTF2IRD1,0.58
ZMYM3,LMO3,ZMYM3,0.56
ZMYM3,ZMYM3,KAT5,0.56
ZMYM3,ZMYM3,SETDB1,0.56
ZMYM3,ZMYM3,YWHAG,0.56
ZMYND10,CDR1,ZMYND10,0.72
ZMYND10,ZMYND10,CDR1,0.72
ZMYND10,TSC22D4,ZMYND10,0.7
ZMYND10,ZMYND10,TSC22D4,0.7
ZNF131,FHL2,ZNF131,0.72
ZNF131,ZNF131,FHL2,0.72
ZNF131,FHL5,ZNF131,0.67
ZNF131,ZNF131,FHL5,0.67
ZNF133,KRTAP10-7,ZNF133,0.56
ZNF133,ZNF133,KRTAP10-7,0.56
ZNF133,APP,ZNF133,0.55
ZNF133,FOS,ZNF133,0.52
ZNF133,ZNF133,FOS,0.52
ZNF133,ZNF133,MDM2,0.4
ZNF143,EAF1,ZNF143,0.56
ZNF143,ENKD1,ZNF143,0.56
ZNF143,EXOSC1,ZNF143,0.56
ZNF143,FAM90A1,ZNF143,0.56
ZNF143,FHL2,ZNF143,0.56
ZNF165,YJU2B,ZNF165,0.77
ZNF165,ZNF165,YJU2B,0.77
ZNF165,SCAND1,ZNF165,0.67
ZNF180,NDEL1,ZNF180,0.67
ZNF180,ZNF180,NDEL1,0.67
ZNF180,KRTAP10-7,ZNF180,0.56
ZNF180,CARD10,ZNF180,0.56
ZNF180,CIB3,ZNF180,0.56
ZNF181,APP,ZNF181,0.55
ZNF181,ZNF181,DDX46,0.4
ZNF181,ZNF181,NPM1,0.4
ZNF181,ZNF181,PDIA3,0.4
ZNF181,CBS,ZNF181,0.37
ZNF181,EPHA1,ZNF181,0.37
ZNF181,OPTN,ZNF181,0.37
ZNF207,BUB3,ZNF207,0.59
ZNF207,ZNF207,BUB3,0.59
ZNF207,CFTR,ZNF207,0.48
ZNF215,q53fc7_human,ZNF215,0.4
ZNF215,ZNF215,HSP90AB1,0.4
ZNF215,ZNF215,q96be0_human,0.4
ZNF215,ZNF483,ZNF215,0.35
ZNF215,ZSCAN20,ZNF215,0.35
ZNF217,CTBP1,ZNF217,0.74
ZNF217,HDAC1,ZNF217,0.64
ZNF226,ZNF226,MRPL58,0.4
ZNF226,ATF4,ZNF226,0.37
ZNF226,ZNF226,SSBP3,0.37
ZNF226,H2BC10,ZNF226,0.27
ZNF227,CEP70,ZNF227,0.78
ZNF227,ZNF227,CEP70,0.78
ZNF227,APP,ZNF227,0.55
ZNF227,ZNF227,VDAC3,0.4
ZNF24,ZNF24,ZSCAN32,0.84
ZNF24,ZSCAN32,ZNF24,0.84
ZNF24,PGBD1,ZNF24,0.83
ZNF253,LDOC1,ZNF253,0.53
ZNF253,AKR1B1,ZNF253,0.4
ZNF292,CBX1,ZNF292,0.53
ZNF292,DCLK3,ZNF292,0.37
ZNF292,HUNK,ZNF292,0.37
ZNF292,RCAN1,ZNF292,0.37
ZNF292,TIAM1,ZNF292,0.37
ZNF292,ALB,ZNF292,0.35
ZNF296,CRYAA,ZNF296,0.56
ZNF296,FKBP1A,ZNF296,0.56
ZNF296,GRN,ZNF296,0.56
ZNF296,HSPA2,ZNF296,0.56
ZNF319,KRTAP13-3,ZNF319,0.56
ZNF319,ccsb orf id: 55516,ZNF319,0.56
ZNF319,KRTAP10-6,ZNF319,0.56
ZNF319,KRTAP10-8,ZNF319,0.56
ZNF319,KRTAP10-9,ZNF319,0.56
ZNF319,BEGAIN,ZNF319,0.56
ZNF319,CYSRT1,ZNF319,0.56
ZNF319,DVL3,ZNF319,0.56
ZNF319,GRAP2,ZNF319,0.56
ZNF319,KRT34,ZNF319,0.56
ZNF324,CACNG5,ZNF324,0.35
ZNF324,CBX5,ZNF324,0.35
ZNF324,EFEMP1,ZNF324,0.35
ZNF324,FBL,ZNF324,0.35
ZNF324,L3MBTL1,ZNF324,0.35
ZNF324,LZTS2,ZNF324,0.35
ZNF324,NXF2B,ZNF324,0.35
ZNF331,APP,ZNF331,0.55
ZNF331,IPO8,ZNF331,0.53
ZNF331,ZNF331,IPO8,0.53
ZNF331,C8orf33,ZNF331,0.37
ZNF331,FHL2,ZNF331,0.37
ZNF331,MAPK6,ZNF331,0.37
ZNF331,PTK2,ZNF331,0.37
ZNF33A,FMR1,ZNF33A,0.37
ZNF33A,CBX6,ZNF33A,0.35
ZNF33A,CDK11A,ZNF33A,0.35
ZNF33A,TRIM28,ZNF33A,0.35
ZNF33A,VPS50,ZNF33A,0.35
ZNF362,ZNF362,ANKRA2,0.44
ZNF362,ARHGEF19,ZNF362,0.35
ZNF362,SUMO1,ZNF362,0.35
ZNF362,AR,ZNF362,0.27
ZNF362,CDC14B,ZNF362,0.27
ZNF362,H2BC10,ZNF362,0.27
ZNF362,TLK2,ZNF362,0.27
ZNF384,CEBPE,ZNF384,0.37
ZNF451,UBE2I,ZNF451,0.75
ZNF451,ZNF451,UBE2I,0.75
ZNF462,ZNF462,EHMT2,0.67
ZNF462,CBX5,ZNF462,0.53
ZNF462,ZNF462,CBX5,0.53
ZNF462,SOX2,ZNF462,0.48
ZNF462,ZNF462,TCOF1,0.4
ZNF469,ZNF469,H2BC13,0.4
ZNF469,ZNF469,H2BC9,0.4
ZNF469,RIPK4,ZNF469,0.35
ZNF479,KRTAP10-6,ZNF479,0.56
ZNF479,KRTAP5-7,ZNF479,0.56
ZNF479,GOLGA6L9,ZNF479,0.56
ZNF479,STX1A,ZNF479,0.56
ZNF479,ZNF479,KRTAP10-6,0.56
ZNF479,ZNF479,KRTAP5-7,0.56
ZNF479,ZNF479,GOLGA6L9,0.56
ZNF483,ZNF446,ZNF483,0.67
ZNF483,ZNF483,ZNF446,0.67
ZNF483,ZKSCAN4,ZNF483,0.6
ZNF483,CAMTA2,ZNF483,0.56
ZNF483,CRX,ZNF483,0.56
ZNF497,CTSD,ZNF497,0.61
ZNF497,ZNF497,CTSD,0.61
ZNF497,KRTAP1-1,ZNF497,0.56
ZNF497,ccsb orf id: 100064146,ZNF497,0.56
ZNF497,KRTAP12-2,ZNF497,0.56
ZNF497,KRTAP12-3,ZNF497,0.56
ZNF497,KRTAP1-3,ZNF497,0.56
ZNF497,KRTAP4-4,ZNF497,0.56
ZNF503,DCAF7,ZNF503,0.64
